Nombre,X,Y,Ancho,Alto,Timestamp
Rostro_282,63,7,185,185,1731110116.1548352
Rostro_286,11,34,130,130,1731110116.257454
Rostro_510,0,40,78,78,1731110122.318037
Rostro_522,33,2,94,94,1731110122.8139496
Rostro_10,209,130,66,66,1731505845.6017177
Rostro_51,62,140,75,75,1731505846.4102252
Rostro_106,86,3,55,55,1731505847.6767342
Rostro_168,110,47,54,54,1731505849.3335314
Rostro_227,228,185,52,52,1731505850.805046
Rostro_247,6,43,90,90,1731505851.292763
Rostro_377,192,42,78,78,1731505854.835333
Rostro_537,6,28,98,98,1731505859.2907853
Rostro_566,154,56,53,53,1731505860.0941494
Rostro_600,38,160,76,76,1731505861.1059597
Rostro_666,59,100,60,60,1731505862.930066
Rostro_765,171,26,110,110,1731505865.605815
Rostro_780,134,199,35,35,1731505866.025647
Rostro_821,4,37,126,126,1731505867.1045597
Rostro_951,110,74,106,106,1731505871.0355856
Rostro_1080,160,84,38,38,1731505875.2102692
Rostro_1106,101,92,49,49,1731505876.0382946
Rostro_1161,36,171,60,60,1731505877.5940125
Rostro_1256,96,14,211,211,1731505880.507861
Rostro_1288,151,66,74,74,1731505881.3194537
Rostro_1332,63,68,73,73,1731505882.3369262
Rostro_1849,165,170,50,50,1731505895.9118257
Rostro_1852,101,163,55,55,1731505896.018732
Rostro_1856,144,112,92,92,1731505896.142519
Rostro_1858,52,149,56,56,1731505896.2143998
Rostro_1864,115,70,82,82,1731505896.3814392
Rostro_1866,25,106,55,55,1731505896.4420917
Rostro_1878,77,105,90,90,1731505896.8184094
Rostro_1892,148,28,79,79,1731505897.2709622
Rostro_1958,95,4,42,42,1731505899.3503115
Rostro_2013,53,82,40,40,1731505901.8551726
Rostro_2040,114,110,38,38,1731505904.174033
Rostro_2047,194,96,42,42,1731505904.6241157
Rostro_2120,89,116,34,34,1731505909.6826668
Rostro_2161,88,23,50,50,1731505912.6599448
Rostro_2191,35,113,37,37,1731505914.7856534
Rostro_2228,91,119,37,37,1731505916.9523096
Rostro_2228,139,28,44,44,1731505916.9523096
Rostro_2267,184,73,52,52,1731505919.3922403
Rostro_2301,41,120,39,39,1731505920.5286322
Rostro_2316,229,49,34,34,1731505921.0190854
Rostro_2331,46,41,49,49,1731505921.551361
Rostro_2345,91,73,51,51,1731505921.997183
Rostro_2432,141,76,34,34,1731505924.6217697
Rostro_2598,134,25,62,62,1731505929.144658
Rostro_2604,209,99,71,71,1731505929.2996385
Rostro_2705,155,100,74,74,1731505932.4249215
Rostro_2763,174,29,63,63,1731505935.36254
Rostro_2951,113,117,111,111,1731505940.3691518
Rostro_2968,182,130,107,107,1731505940.811542
Rostro_2983,2,56,91,91,1731505941.1827888
Rostro_2985,28,8,36,36,1731505941.2368436
Rostro_2989,5,127,51,51,1731505941.3405476
Rostro_2989,62,59,90,90,1731505941.3405476
Rostro_2995,83,0,36,36,1731505941.4997342
Rostro_3034,147,50,96,96,1731505942.8111
Rostro_3048,56,128,54,54,1731505943.268165
Rostro_3208,4,57,51,51,1731505947.8964736
Rostro_3349,180,114,41,41,1731505954.685893
Rostro_0,254,146,43,43,1731518277.8695
Rostro_139,14,87,74,74,1731540945.4871004
Rostro_142,224,38,57,57,1731540945.5796862
Rostro_188,45,157,41,41,1731540947.1189072
Rostro_120,111,9,137,137,1731541181.5031986
